"Exhibit P-21, Production Schedule: PB 2022 Army",,,,,,,,,,,,,,,,,,,,,,,,,Date: May 2021,,,,,,,
Appropriation / Budget Activity / Budget Sub Activity: 2032A / 02 / 30,,,,,,,,,,,,,P-1 Line Item Number / Title: 6005C64400 / Guided MLRS Rocket (GMLRS),,,,,,,,,,,,Item Number / Title [DODIC]: C65404 / GUIDED MLRS ROCKET (GMLRS),,,,,,,
Cost Elements (Units in Each),,,,,,,Fiscal Year 2019,,,,,,,,,,,,,Fiscal Year 2020,,,,,,,,,,,,B A L A N C E
O C O,M F R #,FY,SERVICE,PROC QTY,ACCEPT PRIOR TO 1 OCT 2018,BAL DUE AS OF 1 OCT,,,,Calendar Year 2019,,,,,,,,,,,,,Calendar Year 2020,,,,,,,,,
,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
Tactical GMLRS Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prior Years Deliveries: 25072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2017,ARMY,"2,970",756,"2,214",246,246,246,246,246,246,,246,246,246,,,,,,,,,,,,,,,,0
,1,2017,FMS (‡),60,60,0,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,,,,0
,1,2017,MC (‡),336,72,264,24,30,30,30,30,30,,30,30,30,,,,,,,,,,,,,,,,0
,1,2017,Total,"3,366",888,"2,478",270,276,276,276,276,276,,276,276,276,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,1,2018,ARMY,"6,528",0,"6,528",-,-,-,-,-,-,,-,-,-,-,546,546,546,546,546,546,546,546,540,540,540,540,,,0
,1,2018,FMS (‡),96,0,96,-,-,-,-,-,-,,-,-,-,-,12,12,12,12,6,6,6,6,6,6,6,6,,,0
,1,2018,MC (‡),372,0,372,-,-,-,-,-,-,,-,-,-,-,36,36,30,30,30,30,30,30,30,30,30,30,,,0
,1,2018,Total,"6,996",0,"6,996",-,-,-,-,-,-,,-,-,-,-,594,594,588,588,582,582,582,582,576,576,576,576,-,-,0
,1,2019,ARMY,"7,668",0,"7,668",,,,,,A -,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,642,642,"6,384"
,1,2019,FMS (‡),462,0,462,,,,,,A -,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,36,396
,1,2019,MC (‡),222,0,222,,,,,,A -,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,18,180
,1,2019,Total,"8,352",0,"8,352",,,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,696,696,"6,960"
,1,2020,ARMY,"7,878",0,"7,878",,,,,,,,,,,,,,,,,,,A -,-,-,-,-,-,-,"7,878"
,1,2021,ARMY,"5,796",0,"5,796",,,,,,,,,,,,,,,,,,,,,,,,,,"5,796"
,1,2021,FMS (‡),"2,142",0,"2,142",,,,,,,,,,,,,,,,,,,,,,,,,,"2,142"
,1,2021,MC (‡),330,0,330,,,,,,,,,,,,,,,,,,,,,,,,,,330
,1,2021,Total,"8,148",0,"8,148",,,,,,,,,,,,,,,,,,,,,,,,,,"8,148"
,1,2022,ARMY,"5,886",0,"5,886",,,,,,,,,,,,,,,,,,,,,,,,,,"5,886"
O N D J F M A M J J A S O N D J F M A M J J A S C O E A E A P A U U U E C O E A E A P A U U U E T V C N B R R Y N L G P T V C N B R R Y N L G P,,,,,,,O C T,N O V,D E C,J A N,F E B,M A R,,A P R,M A Y,J U N,J U L,A U G,S E P,O C T,N O V,D E C,J A N,F E B,M A R,A P R,M A Y,J U N,J U L,A U G,S E P,
